Name,Price,Ram,System,SSD,Processor,Display
Acer Nitro AMD Ryzen 5 Hexa Core 5600H - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graphics/NVIDI...,"₹99,999",8 GB DDR4 RAM,64 bit Windows 11 Home Operating System,1 TB HDD|256 GB SSD,AMD Ryzen 5 Hexa Core Processor,39.62 cm (15.6 Inch) Display
Acer Aspire 3 Backlit Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin an...,"₹56,991",8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Intel Core i3 Processor (12th Gen),35.56 cm (14 Inch) Display
HP 15s Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 10 Home) 15s-FQ2072TU Thin and Light L...,"₹57,890",8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,Intel Core i3 Processor (11th Gen),39.62 cm (15.6 inch) Display
DELL Inspiron Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) INSPIRON 3511 Thin an...,"₹68,999",16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Intel Core i5 Processor (11th Gen),39.62 cm (15.6 Inch) Display
HP 250R G9 (2024) Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 250R G9 Thin and Li...,"₹54,990",8 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core i3 Processor (13th Gen),39.62 cm (15.6 Inch) Display
Infinix X3 Slim Intel Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) XL422 Thin and...,"₹69,990",16 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,Intel Core i7 Processor (12th Gen),35.56 cm (14 Inch) Display
Infinix X1 Slim Series Intel Core i5 10th Gen 1035G1 - (8 GB/512 GB SSD/Windows 11 Home) XL21 Thin and...,"₹59,999",8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,Intel Core i5 Processor (10th Gen),35.56 cm (14 Inch) Display
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,"₹89,500",16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,Intel Core i5 Processor (13th Gen),39.62 cm (15.6 Inch) Display
HP 240R G10 (2026) Professional (i3 14th Gen) Intel Core 3 14th Gen 100U - (16 GB/512 GB SSD/Windows 1...,"₹69,990",16 GB DDR4 RAM,64 bit Windows 11 Home Operating System,512 GB SSD,Intel Core 3 Processor (14th Gen),35.56 cm (14 Inch) Display
HP Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) 15-ew0047TU Thin and Light Laptop,"₹88,000",16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Intel Core i7 Processor (12th Gen),39.62 cm (15.6 Inch) Touchscreen Display
