Brand,Model,Processor,Ram,SSD,Price,Display
HP,15s,AMD Ryzen,8 GB,256 GB,58790,39.62 cm
HP,AMD,AMD Ryzen,8 GB,512 GB,52890,39.62 cm
Lenovo,IdeaPad,Intel Core,16 GB,512 GB,69990,39.62 cm
HP,15s,AMD Ryzen,8 GB,512 GB,58999,39.62 cm
HP,14s,Intel Core,8 GB,256 GB,57290,35.56 cm
ASUS,Vivobook,Intel Core,8 GB,512 GB,56999,35.56 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,89999,40.64 cm
MSI,Modern,AMD Ryzen,16 GB,512 GB,64990,35.56 cm
HP,Intel,Intel Core,8 GB,512 GB,55990,39.62 cm
HP,AMD,AMD Ryzen,8 GB,512 GB,59890,39.62 cm
HP,255,AMD Athlon,8 GB,256 GB,48699,39.62 cm
HP,Professional,Intel Core,8 GB,512 GB,79990,39.62 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,85890,40.64 cm
HP,15s,Intel Core,8 GB,512 GB,57990,39.62 cm
Acer,Swift,Intel Core,16 GB,1 TB,129999,35.56 cm
HP,Victus,Intel Core,16 GB,512 GB,120990,39.62 cm
DELL,Intel,Intel Core,8 GB,512 GB,59699,39.62 cm
HP,AMD,AMD Ryzen,8 GB,512 GB,58990,39.62 cm
HP,AMD,AMD Ryzen,8 GB,512 GB,51990,39.62 cm
HP,15s,AMD Ryzen,16 GB,512 GB,69790,39.62 cm
Lenovo,LOQ,Intel Core,16 GB,512 GB,149900,39.62 cm
ASUS,ROG,AMD Ryzen,16 GB,1 TB,160500,34.04 cm
MSI,Modern,AMD Ryzen,8 GB,512 GB,61990,35.56 cm
Lenovo,ThinkBook,AMD Ryzen,8 GB,512 GB,58550,39.62 cm
Acer,ALG,Intel Core,16 GB,512 GB,85999,39.62 cm
Acer,Swift,Intel Core,16 GB,512 GB,74999,35.56 cm
ASUS,Vivobook,Intel Core,8 GB,512 GB,68991,39.62 cm
HP,Intel,Intel Core,16 GB,512 GB,82364,35.56 cm
HP,15,AMD Ryzen,16 GB,512 GB,81450,39.62 cm
Lenovo,Ideapad,Intel Core,4 GB,256 GB,35690,39.62 cm
Apple,MacBook,Apple M3,8 GB,512 GB,134900,33.02 cm
ASUS,Zenbook,Intel Core,16 GB,512 GB,135499,33.78 cm
DELL,Intel,Intel Core,32 GB,1 TB,440861,40.64 cm
